player_id,battle_id,match_res,gamemode,gametip,start_time,character,K/D/A,money,CS,damage,view
Sigolon,,勝,一般對戰,29min 28s,2021-12-17 00:25:34,姍娜,10/7/20,$14k,25(5),28109,11(1)
Sigolon,,敗,一般對戰,10min 22s,2021-12-17 00:06:08,汎,0/1/1,$2.8k,56(2),1289,3(0)
Sigolon,,敗,一般對戰,41min 32s,2021-12-16 21:19:21,汎,11/11/13,$20.2k,262(34),33510,14(1)
kabo87777,,勝,隨機單中,16min 31s,2021-12-20 23:10:48,塔里克,1/4/35,$10.1k,2(0),3769,0(0)
kabo87777,,勝,隨機單中,18min 07s,2021-12-20 22:48:45,齊勒斯,14/5/24,$14.4k,30(0),30236,0(0)
kabo87777,,敗,隨機單中,17min 47s,2021-12-20 22:27:54,阿卡莉,7/9/13,$10.7k,12(0),15995,0(0)
kabo87777,,敗,隨機單中,21min 13s,2021-12-17 22:35:55,薇可絲,12/8/19,$14.4k,29(0),30046,0(0)
kabo87777,,敗,隨機單中,17min 27s,2021-12-17 22:15:54,賽勒斯,1/7/10,$9.2k,16(0),8570,0(0)
kabo87777,,勝,隨機單中,22min 04s,2021-12-17 21:48:48,艾克,9/4/18,$14.2k,38(0),11160,0(0)
kabo87777,,敗,隨機單中,24min 09s,2021-12-16 23:39:21,齊勒斯,12/9/29,$15.9k,50(0),28662,0(0)
kabo87777,,勝,彈性積分,46min 07s,2021-12-13 01:10:02,亞歷斯塔,8/7/27,$13.2k,31(0),13189,38(9)
kabo87777,,勝,彈性積分,38min 16s,2021-12-13 00:25:50,雷歐娜,5/6/20,$11.2k,33(0),7203,44(8)
kabo87777,,勝,彈性積分,23min 04s,2021-12-10 22:38:12,露璐,4/1/13,$7.5k,11(0),3215,17(3)
kabo87777,,敗,隨機單中,23min 04s,2021-12-10 22:08:17,阿姆姆,4/7/21,$13.2k,25(0),16029,0(0)
kabo87777,,敗,隨機單中,18min 29s,2021-12-09 23:34:16,蓋倫,6/9/12,$11.5k,32(0),11281,0(0)
kabo87777,,勝,一般對戰,28min 02s,2021-12-09 23:02:19,凱特琳,10/1/11,$14.1k,207(12),20014,6(1)
kabo87777,,勝,隨機單中,22min 54s,2021-12-08 00:01:55,凱莎,10/6/33,$15.3k,50(0),36697,0(0)
kabo87777,,勝,隨機單中,23min 32s,2021-12-07 23:34:12,吉茵珂絲,13/8/28,$18k,142(0),26629,0(0)
kabo87777,,勝,隨機單中,27min 31s,2021-12-02 21:30:55,蒙多醫生,11/8/28,$17.9k,36(0),41333,0(0)
kabo87777,,敗,隨機單中,15min 30s,2021-12-02 21:11:03,鏡爪,10/4/9,$11.4k,54(0),15250,0(0)
kabo87777,,敗,隨機單中,19min 09s,2021-12-01 01:13:39,悠咪,4/4/23,$10.9k,1(0),9183,0(0)
